id,amount,currency,state,date
I4127227587819694,1873.26,USD,connecticut,3/8/2007 18:03
E9525730529761877,740.66,USD,greater london,7/26/2007 2:36
Z6376643485803420,1535.15,USD,colorado,4/7/2007 19:39
R8609290025411138,1324.41,USD,new york,5/16/2007 11:37
Y9572700698484288,697.31,BRL,wien,10/18/2007 12:52
W9847720367646182,575.16,USD,florida,2/11/2007 1:59
U5867366267578316,551.9,USD,west virginia,2/24/2007 20:39
K2049522469066731,829.73,AUD,district of columbia,10/22/2007 2:47
Y3541188796364090,1084.51,USD,pennsylvania,5/23/2007 23:47
F5689640947178158,798.01,USD,pennsylvania,3/5/2007 6:18
R2712608754964983,480.14,USD,michigan,2/10/2007 20:48
Q8132147175675431,908.3,USD,maryland,2/10/2007 20:38
Z7157107312988898,1232.86,USD,new york,7/28/2007 23:30
I2240155697934762,1447.02,EUR,rotherham,7/22/2007 15:42
A7009533565324047,1261.67,USD,zuid-holland,4/26/2007 11:48
B8182372744989622,664.68,SEK,none,3/13/2007 8:01
I9422796012145797,648.41,AUD,california,5/11/2007 12:16
Q9860950176335745,217.47,EUR,california,3/5/2007 0:05
U5095128914988783,211.54,USD,unknown,9/18/2007 20:41
A8883240331023491,1159.39,USD,texas,2/24/2007 23:49
H7753832353671255,1361.68,AUD,hamburg,5/21/2007 14:22
H9711146377964577,630.72,USD,ontario,2/10/2007 15:18
P9449654854342518,1899.68,USD,karnataka,2/10/2007 14:31
Y7269459732775720,72.82,EUR,district of columbia,4/29/2007 20:50
Q4658585160601705,923.62,USD,florida,9/27/2007 8:32
H4570518677344480,443.64,USD,none,11/18/2007 1:25
R5287123088469764,355.94,USD,georgia,6/1/2007 7:00
D3031848013867037,203.09,USD,south carolina,8/5/2007 14:38
Q7863659672634406,1986.08,USD,minnesota,8/19/2007 6:35
M2158507377939077,1033.1,USD,nevada,3/6/2007 12:57
K7736320286929706,1238.45,USD,vermont,4/16/2007 1:04
M3871520770508669,1014.68,USD,florida,6/23/2007 3:40
F9489945443674930,115.37,USD,maryland,2/10/2007 12:42
Q6010537553381064,1701.04,USD,texas,3/4/2007 15:06
C8467547412232735,1242.69,AUD,kansas,6/5/2007 8:39
X2280914017506352,543.08,USD,washington,10/28/2007 19:16
V6126142249316910,726.2,USD,western australia,4/16/2007 19:44
M6362296185725909,1110.21,DKK,kentucky,2/21/2007 8:36
Y2566233225238813,630.8,USD,indiana,8/21/2007 12:00
J5372851371086499,1109.97,USD,new south wales,6/16/2007 18:06
T7430429310137446,1945.84,EUR,sheffield,6/23/2007 3:08
L2783454227768278,1307.34,SGD,valencia,7/29/2007 4:56
K3868763193824612,1398.48,USD,florida,8/18/2007 17:36
L7547437269801849,505.35,USD,oslo,2/16/2007 16:43
R3121935543876788,103.02,GBP,texas,3/30/2007 15:30
V3750528239697027,1231.55,USD,georgia,2/19/2007 2:16
A3368262865319419,1982.15,USD,utah,2/11/2007 6:43
O9348741911971160,1451.59,USD,georgia,3/10/2007 2:37
Z2753823358228150,227.76,USD,south dakota,2/10/2007 19:35
D7063395491601968,1216.75,USD,washington,2/22/2007 22:25
O6184946477313112,135.24,USD,nebraska,5/20/2007 23:01
H1718860730815438,687.37,USD,distrito federal,4/17/2007 12:56
W9410823489589145,311.77,USD,california,3/5/2007 5:48
Q9670151414126673,1456.35,USD,louisiana,2/12/2007 22:55
L4044249613063281,693.91,USD,lisboa,6/2/2007 22:05
C7308518725628066,720.9,USD,new south wales,7/11/2007 8:14
O8167277232037981,1613.01,USD,new south wales,2/21/2007 23:04
O4794204880081569,1193.69,AUD,texas,5/2/2007 8:39
T4788571913916498,1376.77,USD,florida,4/14/2007 21:46
S1703429349632397,1843.88,USD,alabama,10/3/2007 9:01
A5394482615879143,1383.47,USD,california,5/9/2007 23:38
H1222789215431168,1625.65,USD,tennessee,6/10/2007 23:47
F9577996096922900,127.57,NOK,nord,5/29/2007 10:11
I3050844663095030,217.6,NOK,district of columbia,8/29/2007 11:06
R1304692355267404,1988.96,USD,texas,4/2/2007 0:42
A7845220599015355,1516.04,USD,oregon,9/29/2007 8:32
K3038658748244568,1799.35,AUD,missouri,4/7/2007 0:57
C4188903089909015,1833.25,MXN,south australia,5/20/2007 15:40
Y7709424493473931,1792.87,USD,michigan,4/20/2007 17:28
P9615443531792775,1057.74,USD,california,8/26/2007 1:15
X2151547273577767,165.36,EUR,illinois,5/29/2007 9:58
N8453232881461910,744.67,JPY,washington,4/15/2007 5:55
J8700288883578406,1731.2,USD,missouri,2/10/2007 17:43
B6784881690699970,1761.48,USD,illinois,3/12/2007 23:30
C2829462146904554,924.74,USD,washington,4/7/2007 13:18
R8983932472807260,1704.08,USD,missouri,11/13/2007 12:16
Q6539393457017639,678.86,USD,norrbottens lan,4/24/2007 2:40
X3382432769524480,1013.88,USD,stockholms lan,7/29/2007 3:54
H1909254839999456,1582.39,CAD,california,3/29/2007 5:52
J6364346422973798,1043.13,USD,new york,2/19/2007 13:43
N5904326975411387,1404.45,USD,texas,2/10/2007 17:23
U5360628787132854,367.88,USD,new york,3/8/2007 4:33
A3320880992025637,1277.3,USD,massachusetts,8/28/2007 8:49
B1927594578423345,1919.97,USD,south carolina,4/11/2007 16:12
N9105231634718837,1544.3,USD,florida,5/21/2007 20:49
J9749706482371028,1890.44,USD,tennessee,2/10/2007 12:02
J1849877899017826,1867.16,AUD,colorado,4/26/2007 17:53
X1855841367545026,230.23,USD,alabama,2/11/2007 0:11
Y2625692152685293,352.81,GBP,vest-agder,8/6/2007 3:11
K1342897077385322,925.77,USD,west virginia,3/26/2007 21:43
H6051395917917689,718.36,USD,new york,3/31/2007 9:05
T7404194756382192,1424.22,USD,nordrhein-westfalen,3/23/2007 8:28
C9414425912542449,1555.54,USD,greater london,1/24/2008 13:52
H7337610475956898,1985.93,USD,ontario,3/10/2007 4:30
R9132132267789483,745.18,USD,bayern,6/25/2007 23:53
Y7917219965029058,1016.71,USD,washington,2/22/2007 17:16
T1861972084033188,1742.19,USD,florida,5/31/2007 19:47
M1042493971898099,1634.06,EUR,colorado,4/6/2007 3:35
